id,wiki_id,name,status,type,lat,lng,country,weight,nr_tokens_norm
871231,36884,Tula de Allende,outline,park,20.05,-99.35,Mexico,4811,0.008232577920894343
885600,36886,Tulancingo,outline,city,20.083333,-98.366667,Mexico,60022,0.04614496627984689
406747,36888,Tulare,outline,city,36.206667,-119.3425,United States of America,548,0.0016100613646029527
737857,36890,Tulbagh,outline,city,-33.285,19.137778,South Africa,5352,0.008870526763472872
356741,36891,Tulcan,outline,city,0.81166666666667,-77.718611111111,Ecuador,2536,0.0052251048058812805
132897,36892,Tulcea,outline,city,45.19,28.8,Romania,1782,0.004040342669664013
727472,36894,Tullahoma,outline,city,35.368611,-86.21333299999998,United States of America,311,0.0009721125220244244
347340,36895,Tullamore,usable,city,53.27437,-7.492839999999998,Ireland,6944,0.010632480709642142
914175,36896,Tullow,outline,city,52.8,-6.7333,Ireland,896,0.0023999027887477977
676653,36897,Tully,outline,city,-17.9333,145.9333,Australia,2138,0.004617534479616016
342650,36898,Tulsa,usable,city,36.131389,-95.937222,United States of America,77707,0.054893978978066714
981889,36901,Tulum,usable,city,20.41667,-87.3,Mexico,200442,0.10362111914454097
722114,36903,Tumbes,outline,city,-3.5666666666667,-80.45,Peru,20252,0.022145938392368916
282030,36907,Tumby Bay,outline,city,-34.366667,136.1,Australia,3787,0.006956680235737286
299510,36908,Tumkur,outline,city,13.342222222221999,77.101666666667,India,853,0.002308767239808008
940340,36910,Tumon,outline,city,13.511,144.809,Guam,636,0.0018227109787957957
498695,36912,Tumut,outline,city,-35.304,148.222,Australia,5644,0.009204690442918767
291074,36913,Tumwater,outline,city,47.007778,-122.911111,United States of America,649,0.0018530894951090588
756894,36914,Tunbridge Wells,usable,city,51.13698,0.26771,United Kingdom,38642,0.03429734491767422
195753,36915,Tunceli,outline,city,39.1167,39.55,Turkey,4710,0.00811106385564129
896501,36917,Tunica,outline,city,34.688889,-90.380556,United States of America,31102,0.029619053405431677
265199,36919,Tunis,guide,city,36.8,10.1833,Tunisia,265896,0.1251898657269579
